 
Deathstalker         has given Tarane Talkor man the corpse of the frogman chieftain.
Tarane Talkor man    has given Deathstalker a battle mask.
Deathstalker         has given Tarane Talkor man the corpse of a scare crow.
Tarane Talkor man    has given Deathstalker a pair of silver earrings.
High Priest healer Julias has given Alaria a note list.
Shop keeper magical Amelia has given Alaria a red potion bottle.
Shop keeper magical Amelia has given Alaria a glowing blue potion.
Blade Master teacher blademaster Symon has given Alaria a curved dagger.
stable master jonah  has given Alaria a ring with a green gem.
Blade Master Symon BLADEMASTER teacher has given Alaria Jonahs dagger.
Alaria               has given stable master Jonah man Jonahs dagger.
Alaria               has given stable master Jonah man a potion of calming.
Deathstalker         has given ranger the torn ear of a frogman.
Deathstalker         has given ranger the torn ear of a frogman.
Deathstalker         has given ranger the torn ear of a frogman.
Deathstalker         has given ranger the torn ear of a frogman.
Deathstalker         has given ranger the torn ear of a frogman.
Deathstalker         has given ranger the torn ear of a frogman.
Deathstalker         has given ranger the torn ear of a frogman.
Deathstalker         has given ranger the torn ear of a frogman.
Deathstalker         has given ranger the torn ear of a frogman.
Deathstalker         has given ranger the torn ear of a frogman.
Alaria               has given stable master Jonah man the corpse of a sewer rat.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Vladaar              has invoked a weapons rack.
Vladaar              has invoked a magic cabinet.
Vladaar              has invoked an armor chest.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Gnome Guard Vasara   has given Deathstalker a key.
Deathstalker         has given Tarane Talkor man the corpse of a giant crab.
Tarane Talkor man    has given Deathstalker a red potion bottle.
fysklor librarian    has given Deathstalker A worn parchment.
Rowan                has given Eldrin a gold diamond ornate-ring.
Rowan                has given Eldrin a gold diamond ornate-ring.
Rowan                has given Eldrin a gold diamond necklace.
Rowan                has given Eldrin a gold diamond necklace.
Rowan                has given Eldrin a gold diamond fullplate-suit.
Rowan                has given Eldrin a gold diamond crown.
Rowan                has given Eldrin a gold diamond plated-gauntlets.
Rowan                has given Eldrin a gold diamond leggings.
Rowan                has given Eldrin a gold diamond plated-boots.
Rowan                has given Eldrin a gold diamond round-shield.
Rowan                has given Eldrin a gold diamond cape.
Rowan                has given Eldrin a gold diamond scale-girdle.
Rowan                has given Eldrin a gold diamond bracelet.
Rowan                has given Eldrin a gold diamond bracelet.
Rowan                has given Eldrin a gold sapphire tanto-blade.
Rowan                has given Eldrin a gold sapphire tanto-blade.
Rowan                has given Eldrin a silver sapphire ear-stud.
Rowan                has given Eldrin a silver sapphire fullplate-visor.
Rowan                has given Eldrin a silver sapphire pauldrons.
Rowan                has given Eldrin a silver sapphire scale-mask.
Rowan                has given Eldrin a silver sapphire anklet.
Rowan                has given Eldrin a silver sapphire anklet.
Rowan                has given Eldrin a silver sapphire anklet.
Rowan                has given Eldrin a silver sapphire anklet.
Eldrin               has given Seano Halfling Sheriff a dwarf scout corpse.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
drow warrior kyfaek  has given Eldrin a necklace.
Before a Mystical Rift has given Death Knight a graven bastard sword.
Before a Mystical Rift has given Death Knight a graven chestplate.
Before a Mystical Rift has given Death Knight a graven shield.
Before a Mystical Rift has given Death Knight a graven bastard sword.
Before a Mystical Rift has given Death Knight a graven chestplate.
Before a Mystical Rift has given Death Knight a graven shield.
ogre Barakus leader  has given Eldrin a mask of hatred.
ogre Barakus leader  has given Eldrin a thick leather belt.
Before a Mystical Rift has given Death Knight a graven bastard sword.
Before a Mystical Rift has given Death Knight a graven bastard sword.
Before a Mystical Rift has given Death Knight a graven chestplate.
Rowan                has given Eldrin a torso of red dragonscale.
Rowan                has given Eldrin leggings of red dragonscale.
Rowan                has given Eldrin a red dragonhelm.
Rowan                has given Eldrin the rear claws of a red dragon.
Rowan                has given Eldrin armguards of red dragonscale.
Before a Mystical Rift has given Death Knight a graven bastard sword.
Before a Mystical Rift has given Death Knight a graven chestplate.
Before a Mystical Rift has given Death Knight a graven chestplate.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Rowan                has given Eldrin a silver sapphire tanto-blade.
Rowan                has given Eldrin a silver sapphire tanto-blade.
Rowan                has given Eldrin a blue dragon tongue cloak.
Rowan                has given Eldrin a blue dragon gem ring.
